,Company,Experience,Location,Title
32,VGB IT Solutions,0-8 years,"Chennai, Mumbai",Java /  J2ee- Developers / team lead / Architect
33,2COMS Consulting Private Limited,3-8 years,Chennai,Java Development Professionals
34,Software Data India Limited,4-8 years,Chennai,Java Developer (front end Development)
35,Crown Solutions India Private Limited,3-8 years,Chennai,Excillent Opportunity for  Java Developer C2H Position F2F on 9th
36,IQura Technologies Private Limited,3-9 years,Chennai,""" Core Java Developer"""
37,Savvyan Technologies Private Limited,5-7 years,Chennai,Java Developer
38,Wipro Limited,5-8 years,Chennai,Tech Lead  Core Java
39,Wipro Limited,3-5 years,Chennai,Developer  Core Java
40,Wipro Limited,3-5 years,Chennai,Developer  Core Java
41,Wipro Limited,3-5 years,Chennai,Developer  Core Java
42,Wipro Limited,3-5 years,Chennai,Developer  Core Java
43,Wipro Limited,3-5 years,Chennai,Developer  Core Java
44,Vertical Management Consultancy,3-6 years,Chennai,Core Java / Advanced  JAVA /  J2EE Developer openings in Chennai
45,Confidential,0-5 years,"Chennai, Visakhapatnam",Java Developer & Asp.Net walk in Interview
46,Roljobs Technology Services Private Limited,3-5 years,Chennai,Java Developer
47,Data Software Research Company Private Limited,4-7 years,Chennai,Java Professioanls!!!!
48,Infosys BPM Limited,2-4 years,Chennai,Java Developer
49,2COMS Consulting Private Limited,3-8 years,Chennai,"Core Java Developer with Multithreading, collections, OOPS for Chennai"
50,Wipro Limited,5-8 years,Chennai,Tech Lead  Core Java
51,HR Addons,4-7 years,Chennai,Java Developer
52,Cloud Axis Technologies,0-0 years,Chennai,Java Developer
53,SP Staffing Services Private Limited,3-6 years,Chennai,We are having an opening for  Java Developer and DotNet Developer in MNC company.
54,Perficient India,4-12 years,Chennai,Senior  Java Developer
55,People Prime Worldwide Private Limited,5-10 years,"Mumbai, Chennai",Immediate Opening at BA Continuum
56,Comfyi Solution,0-1 years,Chennai,Core Java Developer
57,Wilmer Software Solutions Private Limited,5-10 years,"Chennai, Pune",Java /  J2ee with 5+ years of experience at Chennai location Notice period: 10-15 days
58,Capgemini Technology Services India Limited,4-10 years,Chennai,Walk-in Interview -  Java Developer - Capgemini Chennai on 16th June 2018
59,Infiniminds Private Limited,,,J2Ee Developer
60,Datamatics Global Services Limited,5-8 years,"Chennai, Mumbai",Excellent opportunity with Datamatics for Senior  Java Developer position
61,True Tech Solutions,3-7 years,Chennai,Core Java Developer :: Guindy location
62,Vertical Management Consultancy,2-6 years,Chennai,JAVA /  J2EE /  Core JAVA / Advanced  JAVA Production and Application Support
63,Stg Infotech India LLP,4-9 years,Chennai,Openings with STG For  Java with Spring Professionals
64,Infiniminds Private Limited,,,J2Ee Developer
65,Crown Solutions India Private Limited,3-4 years,Chennai,Java Developer
66,Larsen & Toubro Infotech  Ltd.,3-7 years,Chennai,Opening for  Java developer@Chennai
67,savan Sudesh Babu (Proprietor Of Job Store Consulting),,,SENIOR  JAVA DEVELOPER
68,Anlage Infotech India Private Limited,5-8 years,"Chennai, Mumbai",Senior  Java Developer
69,Infiniminds Private Limited,,,J2EE Lead
70,VGB IT Solutions,0-8 years,"Chennai, Mumbai",Java /  J2ee- Developers / team lead / Architect
71,2COMS Consulting Private Limited,3-8 years,Chennai,Java Development Professionals
72,Software Data India Limited,4-8 years,Chennai,Java Developer (front end Development)
73,Crown Solutions India Private Limited,3-8 years,Chennai,Excillent Opportunity for  Java Developer C2H Position F2F on 9th
74,IQura Technologies Private Limited,3-9 years,Chennai,""" Core Java Developer"""
75,Savvyan Technologies Private Limited,5-7 years,Chennai,Java Developer
76,Saaki Argus And Averil Consulting,4-9 years,"Bengaluru / Bangalore, Chennai",Engineer Software Development
77,Larsen & Toubro Infotech  Ltd.,3-9 years,"Bengaluru / Bangalore, Chennai","Schedule drive for  Java Professionals - ReactJS / Node JS, Python, Java / spring / Hibernate On 9 June 2018 @ Larsen and Toubro Infotech"
78,Confidential,0-5 years,"Chennai, Lucknow",Java Developer & Asp.Net walk in Interview
79,Aadvi Tech Solutions Private Limited,4-5 years,Chennai,Core Java Developer
80,Crown Solutions India Private Limited,2-7 years,Chennai,Job Opportunity for  Java Develoeper @ Chennai C2H Position
81,Gembrill Technologies India Private Limited,2-5 years,Chennai,Java Developer - Night Shift - Production support
82,CBSI India Private Limited,2-5 years,Chennai,Java /  J2EE Developer opening for Chennai Location_Should join in 15 days_fake candidates dont apply
83,Enlighted Energy Systems Private Limited,3-5 years,Chennai,SOFTWARE DEVELOPER /  JAVA DEVELOPER /  JAVA PROGRAMMER (  JAVA /  J2EE / SPRING /  CORE JAVA)
84,Centraprise IT Solutions Private Limited,7-12 years,"Bengaluru / Bangalore, Chennai",we are looking for Technology Stack _C2H_Mnc_Bangalore / Chennai
85,2COMS Consulting Private Limited,3-8 years,Chennai,Java Developer / Sr. Developer with Spring Boot and AngularJS
86,2COMS Consulting Private Limited,3-5 years,Chennai,Java Developer
87,Cloud Axis Technologies,0-1 years,Chennai,Java Developer
88,Ooyala India Private Limited,4-9 years,Chennai,Senior Software Engineer ( Java) - Media Logistics & Platform
89,SummitWorks Technologies Private Limited,5-10 years,Chennai,Ext.js
90,Avis Consultancy,4-10 years,Chennai,Java Spring Hibernate
91,Unihunt Consulting Private Limited,3-6 years,"India, Chennai",ReactJS & Javascript Professional
92,Unihunt Consulting Private Limited,3-7 years,"India, Chennai",ReactJS Developer
93,Magna Infotech Limited,3-13 years,Chennai,Java Developer
94,iQuest Management Consultants Private Limited,10-15 years,Chennai,Required  Java Technical Project Manager for Chennai Location
95,Magna Infotech Limited,4-10 years,Chennai,Java Developer job openings c2h mode22June interview
96,GAVS Technologies Private Limited,7-9 years,Chennai,JAVA
97,Magna Infotech Limited,4-10 years,Chennai,Java Developer job openings c2h mode chennai F2F interview 22 June
98,Data Software Research Company Private Limited,2-4 years,Chennai,Walk In for  Java Professionals
99,Cloudzen Technologies,0-5 years,Chennai,Java /  J2ee developers needed for a MNC located @ chennai
100,Eteam Info Services Private Limited,4-9 years,"Bengaluru / Bangalore, Chennai",Senior  Java Developer
101,iQuest Management Consultants Private Limited,4-8 years,"Bengaluru / Bangalore, Chennai",Hybris Developer
102,Pathfinder Management Consulting (India) Ltd,2-9 years,Chennai,JAVA for Chennai location
103,Tech Mahindra Limited,4-10 years,"Bengaluru / Bangalore, Chennai",Java / JSF Developer
104,Augusta Infotech,12-15 years,"Thiruvananthapuram / Trivandrum, Chennai",Senior Architect -  Java-  J2EE- Cloud
105,Augusta Infotech,12-15 years,"Thiruvananthapuram / Trivandrum, Chennai","Senior Architect -  Java, J2EE, Cloud"
106,Augusta Infotech,12-15 years,"Thiruvananthapuram / Trivandrum, Chennai","Senior Architect -  Java, J2EE"
107,Smartbridge Resources,3-4 years,Chennai,Senior  Java Developer
108,Wipro Limited,5-8 years,Chennai,Tech Lead - Application Modernization
109,Wipro Limited,3-5 years,Chennai,Developer - Application Modernization
110,Wipro Limited,5-8 years,Chennai,Tech Lead - Application Modernization
111,Wipro Limited,5-8 years,Chennai,Project Manager Big Data Analytics
112,Stg Infotech India LLP,4-9 years,Chennai,STG Infotech Invites  Java /  J2ee Professionals
113,Wipro Limited,5-8 years,Chennai,Tech Lead - Application Modernization
114,Wipro Limited,5-8 years,Chennai,Tech Lead - Application Modernization
115,Confidential,0-0 years,Chennai,Software Trainee
116,VDart Software Services Private Limited,7-13 years,Chennai,Technical Lead Technical Leader
117,Unihunt Consulting Private Limited,4-8 years,"India, Chennai",Technical Lead - iOS
118,BR Raysoft Global Private Limited,5-10 years,Chennai,"Prasanthi / we have an immediate opening for ""Software developer"" For, Pmt, Chennai Location"
119,VGB IT Solutions,0-6 years,"Bengaluru / Bangalore, Chennai","C++, vC++, JAVA, J2EE, .Net, PHP, TESTING"
120,Linkz Consultantz,2-4 years,Chennai,Java Developer
121,Linkz Consultantz,6-8 years,Chennai,Senior  Java Developer
122,Arowana Consulting,9-16 years,Chennai,Product Manager
123,People Prime Worldwide Private Limited,3-8 years,"Hyderabad / Secunderabad, Chennai",Urgent Requirement for  JAVA JSF
124,Samridha Groups,5-10 years,Chennai,Java Developer  Core Java
125,FIIT Formacion Private Limited,0-1 years,Chennai,Exclusive Opening for Freshers in Software field
126,Innova Solutions Private Limited,2-5 years,Chennai,Java Back end Developer
127,Tech Mahindra Limited,4-10 years,"Bengaluru / Bangalore, Chennai",Java / JSF Developer
128,FIS Global Business Solutions India Private Limited,4-6 years,Chennai,"Java Developer Walk-in Drive : 23rd June, 18 Saturday @ FIS Global - Guindy"
129,Innova Solutions Private Limited,2-5 years,Chennai,Immediate Opening ||  Java Back End Developer || Chennai
130,Innova Solutions Private Limited,8-18 years,Chennai,Immediate Opening ||  Java Lead || Chennai
131,Data Software Research Company Private Limited,2-4 years,Chennai,Excellent Opening for  JAVA Developers
132,2COMS Consulting Private Limited,5-10 years,"Bengaluru / Bangalore, Chennai",Technical Specialist -  Java with Spring Boot and Cloud
133,Compass Consultancy,5-8 years,Chennai,"Urgent Opening for React.Js, Java, Java spring, Angular JS"
134,Scoop Technologies Private Limited,4-7 years,Chennai,Java Developer
135,Comfyi Solution,2-7 years,Chennai,Java /  J2ee Developer (2+)
136,Wipro Limited,3-5 years,Chennai,Developer  Java J2EE
137,Renovision Automation Services Private Limited,5-10 years,Chennai,Java Developer /  Java Engineer
138,Crown Solutions India Private Limited,4-9 years,Chennai,Java Developer
139,Srinivasan Software Solutions Private Limited,3-5 years,Chennai,Java Developer  Java
140,Narnia Soft,2-4 years,Chennai,Java + Splunk Developer
141,Athena Consultancy Services,,Chennai,SA -  Java
142,SP Staffing Services Private Limited,2-5 years,Chennai,We are having an opening for Production Support in leading MNC Company in Chennai.
143,SP Staffing Services Private Limited,3-6 years,Chennai,"We are having an opening for JavaDeveloper, UIDeveloper, DotNetDeveloper in the Leading MNC Company."
144,Maasmind Software,0-1 years,Chennai,Walk in Interview for  Java Trainer / Faculty - 2014 / 15 / 16 Passed Out
145,Chhariot Solutions,2-5 years,Chennai,"Software Engineer / Programmer, 2 - 5 years"
146,Technogen India Private Limited,2-6 years,Chennai,Software Developer
147,ThinkApps Solutions Private Limited,2-4 years,Chennai,Automation test Engineer Automation Testing Quality Analyst quality engineer
148,TATA Consultancy Services Ltd.,5-7 years,Chennai,"Software Engineer / Programmer, 4 - 5 years"
149,People Prime Worldwide Private Limited,3-8 years,"Hyderabad / Secunderabad, Chennai",Urgent Requirement for  JAVA JSF
150,VGB IT Solutions,0-5 years,"Chennai, Mumbai",software developer
151,IT Business Management Solutions India Private Limited,5-8 years,Chennai,Job opening for  Java Developer at Encore software service-Chennai
152,Future Focus Infotech Limited,5-15 years,"Bengaluru / Bangalore, Chennai","Java, Groovy Technical Consultant -Immediate Opening with our Top MNC Client for Bangalore / Chennai"
153,Test Leaf Software Solutions Private Limited,4-6 years,Chennai,Hiring  Java Developer
154,Saaki Argus And Averil Consulting,2-7 years,"Hyderabad / Secunderabad, Chennai",Java With Akka / Play
155,Burgeon It Services Private Limited,6-10 years,Chennai,Technology Lead - API Micro Services &  Java - Chennai
156,FIS Global Business Solutions India Private Limited,4-9 years,Chennai,"Java Developer ( Jboss, Servlets & Webservices) Hiring at FIS Global :: Chennai ( Ambattur) ::"
157,Innova Solutions Private Limited,2-6 years,Chennai,Immediate opening|| Java Back end Developer||Chennai
158,Infiniminds Private Limited,4-8 years,Chennai,Java Developer
159,Saaki Argus And Averil Consulting,2-5 years,Chennai,Java AngularJS Developer
160,Saaki Argus And Averil Consulting,8-10 years,Chennai,Tech Manager -  Java
161,Glasscheese Software Technologies Private Limited,4-8 years,Chennai,Need  Java Developers
162,2COMS Consulting Private Limited,5-8 years,Chennai,JAVA / Angular JS
163,2COMS Consulting Private Limited,6-8 years,Chennai,JAVA / Angular
164,2COMS Consulting Private Limited,,,"Technical Lead /  Java, Spring"
165,2COMS Consulting Private Limited,3-8 years,"Pune, Chennai",Java Full Stack Developer
166,Career Network,3-13 years,"Chennai, Hyderabad / Secunderabad",Pega Openings for Hyderabad / Bangalore / Chennai - 2 to 15 Yrs
167,Rmade Technologies Private Limited,1-3 years,Chennai,Android Developer.
168,Crown Solutions India Private Limited,4-7 years,Chennai,HTML Developer
169,Apt Adroit48 Private Limited,2-4 years,"Chennai, Pondicherry",Sr. UI Designer
170,Job World India private Limited,3-5 years,Chennai,Java Developer with 'Spring boot' and JPA
171,Data Software Research Company Private Limited,2-7 years,Chennai,DSRC Hires  Java Developers 2+ Yrs @ Chennai
172,Bridge Hospital Services,2-6 years,Chennai,Opening's For  Java Developers
173,Winvest Technology Consultancy Services Private Limited,4-6 years,Chennai,Java development /  Core java /  j2ee with Spring / hibernate.
174,Roljobs Technology Services Private Limited,2-12 years,Chennai,JAVA DEVELOPER - SPRING (2-12 YEARS) - CHENNAI
175,Aristocrat IT Solutions,1-5 years,"Chennai, Hyderabad / Secunderabad",Technical Associate
176,Job World India private Limited,3-5 years,Chennai,Java Developer with JPA_3-5yrs_Chennai
177,Compass Consultancy,5-8 years,Chennai,"Urgent Opening for  Java, Angular JS, Spring ReactJS - Zee Soft Techlogies"
178,Elixa Tec,3-13 years,"Bengaluru / Bangalore, Chennai",Senior  Java J2EE Developer-Chennai
179,BR Raysoft Global Private Limited,4-6 years,Chennai,WALKIN DRIVE ON 13TH JUNE IN CHENNAI - SELENIUM TESTING  JAVA
180,Malcolm HR Solutions India Private Limited,0-2 years,Chennai,Openings for B.E CSE / IT
181,Ontoborn Technologies LLC,1-3 years,Chennai,Software Developer
182,etsCouncil,0-0 years,Chennai,"Fresher:  Java Developer is Wanted  (Camsunit.com Camsunit, Chennai)"
183,Magna Infotech Limited,3-8 years,Chennai,"18 may interview : Java, spring, hibernate immediate offer with cts@chennai Location-"
184,Technogen India Private Limited,4-9 years,Chennai,Performance Engineer
185,Purview India Consulting And Services Llp,4-9 years,"Bengaluru / Bangalore, Chennai",Opening for  Java /  J2ee for contract to hire -Bangalore / Chennai location
186,Phoenix Human Capital Private Limited,10-20 years,Chennai,Principal Member Technical Staff / Technical Leader / Software Engineer
187,Saaki Argus And Averil Consulting,2-4 years,Chennai,Analyst System Development
188,HighPoints Technologies India Private Limited,4-6 years,Chennai,Technical Support
189,HighPoints Technologies India Private Limited,4-6 years,Chennai,Technical Support
190,aconixinfotech,0-1 years,"Chennai, Hyderabad / Secunderabad","Fresher, 0 - 1 years"
191,Hopes Forever Consultancy Private Limited,5-10 years,"Bengaluru / Bangalore, Chennai","Software Engineer / Programmer, 5 - 10 years"
192,FocuzMindz Inc,5-6 years,"Bengaluru / Bangalore, Chennai",Net suite Developer
193,Roljobs Technology Services Private Limited,6-15 years,Chennai,Architect -  Java Developer
194,Nova Solutions,4-6 years,"Bengaluru / Bangalore, Chennai",Hybris :Bangalore / Chennai : 14th June
195,Radial HR Solutions,3-10 years,Chennai,J2EE Developer
196,Radial HR Solutions,6-11 years,Chennai,J2EE Developer / Architect
197,Infochola Solutions Private Limited,2-7 years,Chennai,.Net DEVELOPER / DOT NET PROGRAMMER / BOOTSTRAP / CSS / SQL / ASP.Net
198,P3 Synergy Consulting,8-12 years,Chennai,Sr. Team Lead – Software Engineer:  Core Java; Spring MVC; Hibernate; REST API; OOP; SQL
199,Morpheus Human Consulting Private Limited,0-1 years,Chennai,Assistant Manager - IT –  Java Development - Chennai - Nugabakkam
200,GI Human Resources And Services Private Limited,4-7 years,Chennai,Third Party Pay Roll –  JAVA Technical Specialist Chennai
201,Linkz Consultantz,2-5 years,Chennai,Java Developer
202,Gembrill Technologies India Private Limited,1-9 years,Chennai,Java Developer / Software Programmer /  Java Programmer / Programmer Analyst  Java
203,Hexaware Technologies Limited,2-3 years,Chennai,Software Engineer -  Core JAVA /  J2EE
204,Wipro Limited,3-5 years,Chennai,Developer  Core Java
205,Glasscheese Software Technologies Private Limited,3-5 years,Chennai,Need  Java Developers
206,Capgemini Technology Services India Limited,3-10 years,Chennai,Walk-in Interview -  Java Developer - Capgemini in Chennai 9th June 2018
207,Unihunt Consulting Private Limited,1-3 years,"India, Chennai",Android Developer
208,Confidential,,,Oracle Technical Consultant
209,Sai Education And Job Consultancy,0-3 years,Chennai,PERMANENT JOBS IN CHENNAI FOR INFORMATION TECHNOLOGY
210,Unihunt Consulting Private Limited,2-6 years,"India, Chennai",JAVA Developer
211,Magna Infotech Limited,4-8 years,Chennai,Java Developer-Chennai
212,Magna Infotech Limited,4-8 years,Chennai,Java Developer @ Chennai Location_Permanent Positions !!!!!
213,Elixa Tec,5-15 years,"Bengaluru / Bangalore, Chennai",Java Architect-Chennai
214,Novotree Minds Consulting Private Limited,3-7 years,"Bengaluru / Bangalore, Chennai",Java Developer
215,ASG Worldwide Private Limited,5-12 years,Chennai,Full Stack  Java Developer
216,ASG Worldwide Private Limited,5-12 years,Chennai,Full Stack  Java Developer / UI Focus
217,ASG Worldwide Private Limited,5-12 years,Chennai,Full Stack  Java Developer / DB Focus
218,ASG Worldwide Private Limited,5-12 years,Chennai,Full Stack  Java Developer / ECM Integration Focus
219,ASG Worldwide Private Limited,5-12 years,Chennai,Full Stack  Java Developer - Services
220,Bartronics Global Solutions Ltd,2-3 years,Chennai,Required  java back end developer for M.N.C client (Minimum 3 years experience)
221,Six Sigma Soft Solutions Private Limited,6-9 years,Chennai,opening for  Java /  J2EE Developer
222,Ionidea Enterprise Solutions Private Limited,8-10 years,Chennai,JTL -  Java Tech. Lead
223,Arowana Consulting,5-10 years,Chennai,looking for a  Java developer- Chennai
224,Sanfive Technologies,0-1 years,Chennai,System Trainee
225,Larsen & Toubro Infotech  Ltd.,3-8 years,"Chennai, Mumbai",Opening for EXT JS @ Mumbai / Pune / Chennai
226,Linkz Consultantz,4-6 years,Chennai,Android Developer
227,Magna Infotech Limited,5-8 years,Chennai,Java Developer
228,Asap Info Systems Private Limited,5-12 years,"Chennai, Pune",Urgent Opening for Angular JS with  Java @ Chennai and Pune Location
229,People Prime Worldwide Private Limited,4-9 years,"Hyderabad / Secunderabad, Chennai","Urgent Requirement for AngularJS and Reactjs (hyd, chennai)"
230,Larsen & Toubro Infotech  Ltd.,4-7 years,"Chennai, Mumbai, Mumbai City, Navi Mumbai, Thane","""Opening for  Java Developer"""
231,Magna Infotech Limited,7-12 years,"Chennai, Mumbai",Immediate opening for  Java leads @Chennai and Mumbai location
232,Magna Infotech Limited,7-12 years,"Chennai, Mumbai",Immediate Opening for  Java leads @Chennai and Mumbai location
233,Magna Infotech Limited,7-11 years,Chennai,Immediate Hiring for  Java Technical Lead @ Chennai
234,2COMS Consulting Private Limited,5-7 years,"Bengaluru / Bangalore, Chennai",Urgent Hiring for  Java Front End Developer - Chennai
235,Roljobs Technology Services Private Limited,3-5 years,Chennai,Backend Engineer
236,E Centric Solutions Private Limited,4-9 years,"Bengaluru / Bangalore, Chennai",Java Developer (4-9yrs)
237,E Centric Solutions Private Limited,8-13 years,Chennai,"Contract to hire Position with  Java, Spring boot for Chennai"
238,Comfyi Solution,0-1 years,Chennai,"FRESHER - ""C / C++ Application Trainee"""
239,Accel Frontline Limited,,,Urgent opening for DOT NET Developer @ Chennai
240,ASG Worldwide Private Limited,5-12 years,Chennai,Developer for Scanner Maintenance
241,Six Sigma Soft Solutions Private Limited,2-10 years,Chennai,Senior Software Engineer
242,SP Staffing Services Private Limited,5-10 years,Chennai,"Urgent Openings for developers with  Java, springboot in CMM Level 5 company"
243,Sai Education And Job Consultancy,0-5 years,Chennai,JAVA 2 years experience needed immediately
244,Emphasis Corporate Services,4-9 years,Chennai,"Java Developer, Chennai Location"
245,Kaizen SRA Technologies Private Limited,8-12 years,Chennai,Java Development Lead - Chennai
246,savan Sudesh Babu (Proprietor Of Job Store Consulting),5-8 years,Chennai,Senior Quality Analyst
247,Gembrill Technologies India Private Limited,0-4 years,Chennai,Java Developer - Gembrill Technologies - Chennai
248,Klaus It Solutions Private Limited,5-9 years,"Bengaluru / Bangalore, Chennai","Immediate Openings for  JAVA DEVELOPER - Bangalore, Chennai, Gurgaon"
249,W3Softech India Private Limited,10-20 years,Chennai,"Full Stack Developer- JavaScript / nodedotjs, C++, Python."
250,Saaki Argus And Averil Consulting,2-5 years,Chennai,Java AngularJS Developer
251,Saaki Argus And Averil Consulting,2-7 years,"Hyderabad / Secunderabad, Chennai",Java With Akka / Play
252,Arowana Consulting,3-8 years,Chennai,Looking for QA in Chennai
253,Confidential,0-5 years,"Chennai, Delhi",Java Developer walk in Interview
254,SP Staffing Services Private Limited,2-5 years,Chennai,We have an oppourtunity in leading MNC company in chennai
255,Magna Infotech Limited,5-7 years,Chennai,"Spring Core, Java, Hibernate job openings in Chennai 5-7 Years-C2H mode-CTS client"
256,Technogen India Private Limited,2-6 years,"Chennai, Hyderabad / Secunderabad","Java Developer with Microservices, Angular & Hibernate"
257,Linkz Consultantz,6-8 years,Chennai,Android Developer
258,Novateur IT Technologies India Private Limited,4-9 years,"Chennai, Hyderabad / Secunderabad",Java Developer(PCF. / ODM)
259,Aristocrat IT Solutions,2-5 years,"Chennai, Hyderabad / Secunderabad",Java Developer
260,TQuanta Technologies Private Limited,6-10 years,Chennai,Senior Automation Tester
261,RheinBrucke IT Consulting Private Limited,5-15 years,Chennai,Hiring SAP ABAP Consultants for a European based IT Company!!!
262,Infosys BPM Limited,2-4 years,Chennai,Infosys BPM Ltd is hiring for â Java Developerâ for Chennai on 13th June 2018.
263,FIS Global Business Solutions India Private Limited,3-7 years,Chennai,Java Unix Production Support ( Rotational Shifts) Hiring @ FIS Global Chennai
264,Suganthi (Proprietor of Global Serve Solutions),8-10 years,Chennai,Openings for Full Stack Developer-Chennai
265,SP Staffing Services Private Limited,3-6 years,Chennai,Immediate openings for  java developer with web services chennai
266,2COMS Consulting Private Limited,,,Hiring for AWS for B'lore & Chennai (ONLY LOCAL CANDIDATES)
267,2COMS Consulting Private Limited,3-8 years,"Bengaluru / Bangalore, Chennai",AWS Development
268,2COMS Consulting Private Limited,9-14 years,"Pune, Chennai",PEGA - Architect / Manager / Sr Manager
269,Karan IT Solutions,0-3 years,"Bengaluru / Bangalore, Chennai","Mobile Application Developer - Android, iOS"
270,Indepth Consulting Services,5-15 years,Chennai,Looking for Freelancer / part time Trainers for  Java for a MNC.
271,Adityaram Properties Private Limited,3-7 years,Chennai,GRAPHIC DESIGNER / WEB DESIGNER
272,Magna Infotech Limited,0-0 years,Chennai,Finance & Accounts
273,Larsen & Toubro Infotech  Ltd.,4-8 years,Chennai,Java + Angular
274,Larsen & Toubro Infotech  Ltd.,,,Java Angular + Springboot
275,Corporate Learning,5-9 years,"Bengaluru / Bangalore, Chennai",Hiring for  Core Java developer with rest APIs with Spring & datastructures at Chennai and Bangalore
276,Talent resource Management Group,8-14 years,Chennai,Java Lead
277,Unihunt Consulting Private Limited,3-6 years,"India, Chennai","Software Developer -  Java, Grails, Angular JS"
278,BR Raysoft Global Private Limited,3-8 years,Chennai,"Prasanthi / we have an immediate opening for "" Java developer"" For, Pmt, Chennai Location"
279,BR Raysoft Global Private Limited,4-6 years,Chennai,"Prasanthi / we have an immediate opening for "" Java developer"" For, Pmt, Chennai Location"
280,FIS Global Business Solutions India Private Limited,3-7 years,Chennai,Java with Web technologies :: Hiring @ FIS ( Chennai - Ambattur) :: 15 days / Immediate Joinee
281,Intel Serve It Solutions,3-8 years,Chennai,JAVA TEAM LEAD - in TVS Group Co
282,Gronex,2-5 years,Chennai,UI Developer
283,Sainora Infotech Private Limited,,,Job opening for  Java Developer
284,Cloud Axis Technologies,0-0 years,Chennai,2018 freshers-SOFTWARE / NETWORKING development recruitment
285,Ionidea Enterprise Solutions Private Limited,6-10 years,Chennai,Lead Engineer / Senior Lead Engineer - Software Development
286,HTC Global Services (India) Private Limited,3-10 years,Chennai,Java with Spring Boot Developer
287,People Prime Worldwide Private Limited,2-5 years,Chennai,career oppourtunitywith one of our client CMMMI Level 5 organisation.
288,VGB IT Solutions,0-8 years,"Chennai, Mumbai",Software Engineer
289,Winvest Technology Consultancy Services Private Limited,5-10 years,Chennai,Android Lead Role
290,Malcolm HR Solutions India Private Limited,0-2 years,Chennai,Openings for B.E CSE / IT
291,Uniphore Software Systems Private Limited,1-6 years,Chennai,JAVA Developer
292,Ark Infotech Spectrum India Private Limited,5-7 years,Chennai,Openings for  Core Java Developers!!!
293,Klaus It Solutions Private Limited,5-8 years,Chennai,"Immediate Openings for  Java developer with Spring, web services - Chennai"
294,Sais Information Technology Private Limited,0-1 years,Chennai,ANDROID DEVELOPER
295,Maasmind Software,0-1 years,Chennai,Walk in Interview for Project coordinator - 2014 / 15 / 16 Passed Out
296,ASG Worldwide Private Limited,5-12 years,Chennai,Full Stack  Java Developer - Application
297,Esd Caddcamm Solutions,8-15 years,Chennai,Immediate opening for  Java Architect
298,ValeurHR E-Solutions Private Limited,,Chennai,Java developer(3 to 5 yrs)
299,Unihunt Consulting Private Limited,2-5 years,"India, Chennai",Software Engineer - SSRS & SSIS
300,Unihunt Consulting Private Limited,5-10 years,"India, Chennai",Data Integration Specialist
301,Unihunt Consulting Private Limited,6-9 years,"India, Chennai",Technical Lead
302,Bigtapp India Private Limited,4-7 years,Chennai,Big Data Developer ( JAVA)
